user_id,1_per_0_place,1_per_1_place,1_per_2_place,1_per_3_place,2_per_0_place,2_per_1_place,2_per_2_place,2_per_3_place,3_per_0_place,3_per_1_place,3_per_2_place,3_per_3_place,4_per_0_place,4_per_1_place,4_per_2_place,4_per_3_place,5_per_0_place,5_per_1_place,5_per_2_place,5_per_3_place,6_per_0_place,6_per_1_place,6_per_2_place,6_per_3_place,1_per_0_score,1_per_1_score,1_per_2_score,1_per_3_score,2_per_0_score,2_per_1_score,2_per_2_score,2_per_3_score,3_per_0_score,3_per_1_score,3_per_2_score,3_per_3_score,4_per_0_score,4_per_1_score,4_per_2_score,4_per_3_score,5_per_0_score,5_per_1_score,5_per_2_score,5_per_3_score,6_per_0_score,6_per_1_score,6_per_2_score,6_per_3_score,game_id,team_id
10001,1,2,5,1,1,3,1,1,2,1,1,1,1,3,1,3,3,3,1,3,1,1,2,3,107,40,24,32,79,8,328,68,246,29,14,59,115,27,291,103,41,16,42,158,123,56,36,4,192,1366
10002,6,4,1,6,6,2,2,2,2,5,1,3,2,2,6,2,3,2,2,2,4,3,2,2,66,46,83,2,7,8,282,47,299,13,12,31,107,27,118,103,65,16,43,158,104,20,53,4,236,1682
10003,6,6,6,5,4,5,6,6,6,2,5,3,6,5,4,5,6,5,6,5,6,1,6,5,57,12,-55,2,10,8,44,-20,12,25,12,29,54,27,110,103,-53,16,-26,158,54,51,14,4,234,1652
10004,5,6,5,4,4,2,6,6,6,2,2,6,6,2,5,2,6,2,4,2,6,2,6,2,70,10,14,7,23,8,16,-21,112,24,14,28,55,27,142,103,-61,16,5,158,47,41,14,4,206,1472
10005,4,4,4,5,5,3,5,4,5,6,4,2,4,3,4,3,5,3,4,3,6,5,4,3,62,12,1,1,5,8,20,-23,100,18,12,34,58,27,114,103,-56,16,1,158,49,38,22,4,219,1602
10006,6,4,1,6,6,2,2,2,2,5,1,3,2,2,6,2,3,2,2,2,4,3,2,2,66,46,83,2,7,8,282,47,299,13,12,31,107,27,118,103,65,16,43,158,104,20,53,4,236,1682
10007,6,5,6,6,5,5,5,3,5,2,2,5,5,5,6,5,4,5,6,5,6,2,2,5,60,27,1,1,4,8,180,21,143,16,13,29,89,27,107,103,37,16,1,158,66,29,36,4,231,1632
10008,3,1,5,2,3,2,1,1,5,1,4,3,5,2,3,2,1,2,6,2,5,1,6,2,89,51,-47,7,18,8,275,29,35,27,12,27,63,27,153,103,88,16,-24,158,65,42,16,4,238,1710
10009,3,2,1,3,3,4,1,1,2,3,3,5,4,4,3,4,1,4,1,4,3,4,2,4,93,29,38,9,31,8,188,18,164,20,12,34,63,27,179,103,38,16,11,158,69,34,32,4,206,1474
10010,6,2,1,5,5,5,1,1,1,3,4,5,2,5,5,5,2,5,1,5,1,2,1,5,54,39,62,-4,-16,8,295,59,261,22,11,28,106,27,73,103,38,16,32,158,120,39,39,4,210,1520
10011,4,4,5,6,6,3,5,4,5,6,3,6,2,3,6,3,5,3,4,3,3,6,1,3,59,22,-2,-7,-21,8,76,-4,118,12,13,20,75,27,64,103,-22,16,3,158,63,17,30,4,234,1660
10012,4,6,1,6,6,2,5,4,2,5,3,4,2,2,6,2,4,2,2,2,4,4,6,2,83,22,42,1,5,8,96,-1,207,14,12,37,104,27,138,103,-10,16,15,158,63,22,32,4,241,1726
10013,4,2,6,2,2,3,4,4,6,3,2,4,6,3,2,3,2,3,6,3,6,5,6,3,103,54,-41,6,21,8,270,32,40,14,11,31,69,27,172,103,79,16,-19,158,88,17,17,4,236,1684
10014,5,6,6,6,6,6,6,6,6,1,3,5,6,6,5,6,6,6,6,6,5,1,6,6,91,6,-39,2,9,8,17,-25,50,20,12,23,62,27,137,103,-52,16,-14,158,55,33,21,4,247,1806
10015,4,1,3,3,3,4,1,1,3,3,5,4,1,4,3,4,1,4,4,4,1,5,4,4,104,62,25,5,21,8,313,37,184,18,8,33,103,27,171,103,81,16,7,158,110,23,31,4,248,1818
10016,2,2,3,3,4,2,2,1,3,3,2,4,2,2,3,2,1,2,3,2,2,4,5,2,75,26,17,3,14,8,187,20,147,31,14,27,68,27,133,103,36,16,10,158,65,40,21,4,219,1592
10017,4,1,1,3,1,2,1,1,1,4,4,1,1,2,2,2,1,2,1,2,3,3,1,2,104,59,54,5,21,8,314,40,234,11,8,32,110,27,170,103,80,16,22,158,111,24,37,4,215,1568
10018,5,3,2,2,2,2,3,2,2,3,3,3,2,2,3,2,3,2,2,2,2,5,2,2,52,32,43,6,25,8,187,17,182,16,13,27,76,27,123,103,40,16,16,158,79,19,31,4,237,1690
10019,2,1,6,1,1,1,1,1,6,3,4,1,6,1,1,1,1,1,6,1,6,3,4,1,97,50,-43,14,49,8,234,25,27,18,11,42,47,27,213,103,79,16,-20,158,54,26,25,4,262,1908
10020,6,1,5,6,6,4,3,6,5,2,4,6,6,4,6,4,3,4,5,4,3,2,5,4,62,32,-14,-1,-4,8,95,-18,79,28,12,29,52,27,98,103,-25,16,-7,158,54,52,20,4,204,1448
10021,2,6,5,6,6,4,6,6,5,1,1,6,5,4,6,4,6,4,2,4,4,3,3,4,67,-4,-1,-28,-59,8,4,-23,123,26,18,-3,62,27,-5,103,-63,16,9,158,64,30,27,4,249,1828
10022,2,4,4,1,1,1,4,5,4,1,1,1,4,1,1,1,5,1,4,1,5,1,4,1,97,22,30,36,83,8,145,7,176,35,16,58,64,27,290,103,5,16,15,158,61,50,32,4,264,1926
10023,5,5,6,4,4,1,5,5,5,1,2,5,5,1,5,1,5,1,5,1,4,2,5,1,54,36,-22,-3,-9,8,150,5,80,25,12,28,62,27,82,103,3,16,-7,158,77,29,22,4,184,1272
10024,3,4,2,2,2,1,2,2,2,5,4,2,3,1,2,1,3,1,2,1,2,3,2,1,104,29,46,13,46,8,196,23,205,15,9,41,89,27,213,103,38,16,17,158,77,29,38,4,248,1808
10025,6,6,6,6,6,3,6,6,6,6,5,5,6,3,6,3,6,3,5,3,6,6,5,3,51,13,-53,1,7,8,31,-15,5,13,11,24,47,27,94,103,-42,16,-19,158,57,18,17,4,238,1708
10026,6,1,6,6,6,3,2,2,6,3,2,3,5,3,6,3,2,3,6,3,2,3,6,3,66,38,-11,-1,-5,8,179,14,100,23,14,33,64,27,107,103,23,16,-4,158,68,36,28,4,264,1918
10027,5,6,5,4,4,2,6,6,6,2,2,6,6,2,5,2,6,2,4,2,6,2,6,2,70,10,14,7,23,8,16,-21,112,24,14,28,55,27,142,103,-61,16,5,158,47,41,14,4,206,1472
10028,6,1,3,4,4,3,1,1,4,2,3,6,5,3,6,3,1,3,3,3,4,1,3,3,63,46,56,3,13,8,246,34,209,20,11,23,69,27,113,103,72,16,24,158,61,33,40,4,183,1266
10029,6,3,6,6,6,4,3,3,6,2,2,6,4,4,6,4,3,4,6,4,6,4,1,4,55,27,3,-8,-34,8,151,9,123,23,14,16,64,27,43,103,31,16,3,158,56,28,30,4,239,1720
10030,6,2,1,5,4,2,2,2,2,1,1,5,5,2,5,2,2,2,2,2,5,1,1,2,56,46,61,3,15,8,243,28,215,32,16,25,59,27,115,103,70,16,23,158,60,39,40,4,214,1560
10031,3,4,2,2,2,1,2,2,2,5,4,2,3,1,2,1,3,1,2,1,2,3,2,1,104,29,46,13,46,8,196,23,205,15,9,41,89,27,213,103,38,16,17,158,77,29,38,4,248,1808
10032,2,5,3,1,1,4,4,3,2,5,3,1,1,4,1,4,4,4,3,4,3,5,2,4,102,15,39,18,56,8,126,12,208,16,12,45,106,27,233,103,14,16,10,158,64,21,37,4,210,1522
10033,4,2,6,2,2,3,4,4,6,3,2,4,6,3,2,3,2,3,6,3,6,5,6,3,103,54,-41,6,21,8,270,32,40,14,11,31,69,27,172,103,79,16,-19,158,88,17,17,4,236,1684
10034,3,2,1,1,1,2,2,1,1,1,1,1,3,2,1,2,2,2,1,2,5,1,1,2,96,44,63,14,52,8,252,37,265,21,13,43,104,27,218,103,61,16,30,158,78,32,47,4,231,1628
10035,4,3,5,1,1,2,2,2,5,3,3,2,5,2,1,2,3,2,5,2,1,1,5,2,90,55,14,11,39,8,312,37,110,14,11,35,58,27,186,103,78,16,3,158,112,30,21,4,252,1850
10036,1,1,4,3,3,6,1,1,4,4,5,3,2,6,3,6,1,6,4,6,3,3,4,6,107,36,33,9,30,8,209,25,172,17,10,34,78,27,190,103,54,16,14,158,61,33,30,4,209,1514
10037,4,3,2,6,6,3,3,3,1,3,4,6,3,3,6,3,3,3,1,3,4,4,3,3,63,30,60,-7,-15,8,192,25,234,20,12,24,88,27,77,103,47,16,30,158,62,28,36,4,214,1558
10038,2,6,5,6,6,4,6,6,5,1,1,6,5,4,6,4,6,4,2,4,4,3,3,4,67,-4,-1,-28,-59,8,4,-23,123,26,18,-3,62,27,-5,103,-63,16,9,158,64,30,27,4,249,1828
10039,5,6,1,3,3,2,6,6,4,3,4,3,4,2,3,2,6,2,1,2,5,1,3,2,95,11,31,8,32,8,44,-17,163,20,11,32,71,27,178,103,-36,16,11,158,54,32,30,4,243,1748
10040,2,3,1,1,1,6,1,1,1,3,5,1,4,6,1,6,1,6,1,6,6,1,1,6,103,21,61,31,78,8,106,-3,217,27,12,59,59,27,283,103,-15,16,31,158,50,53,39,4,204,1456
10041,3,6,3,6,6,1,6,6,3,6,2,6,1,1,5,1,6,1,3,1,3,5,3,1,103,26,27,3,16,8,100,-2,179,10,11,25,106,27,158,103,-16,16,8,158,68,24,28,4,205,1470
10042,6,2,6,5,5,5,3,3,6,4,5,5,6,5,6,5,2,5,6,5,4,5,6,5,55,57,-42,1,4,8,234,21,23,16,11,28,55,27,99,103,75,16,-20,158,60,21,14,4,244,1770
10043,5,3,2,2,2,2,3,2,2,3,3,3,2,2,3,2,3,2,2,2,2,5,2,2,52,32,43,6,25,8,187,17,182,16,13,27,76,27,123,103,40,16,16,158,79,19,31,4,237,1690
10044,4,1,3,5,3,4,2,2,3,5,4,4,2,4,4,4,2,4,4,4,2,5,4,4,67,41,33,4,21,8,249,26,205,15,12,27,110,27,131,103,47,16,15,158,116,19,32,4,192,1370
10045,6,5,4,6,6,6,4,5,4,5,3,5,3,6,6,6,4,6,4,6,6,3,2,6,61,11,28,-5,-23,8,32,-16,168,19,13,23,76,27,69,103,-40,16,10,158,44,33,35,4,191,1360
10046,6,2,6,6,6,5,2,3,6,1,2,6,6,5,6,5,2,5,6,5,4,1,6,5,50,44,-28,-20,-44,8,204,15,67,32,14,5,50,27,5,103,41,16,-7,158,65,39,20,4,237,1696
10047,4,2,2,2,2,3,1,1,1,5,5,2,2,3,2,3,1,3,3,3,2,3,1,3,97,28,31,9,35,8,162,7,197,16,10,37,105,27,188,103,27,16,8,158,69,31,37,4,243,1754
10048,5,2,4,6,6,2,3,3,4,4,2,3,2,2,5,2,2,2,3,2,4,4,5,2,82,38,24,1,3,8,189,14,170,16,12,36,95,27,134,103,44,16,8,158,67,26,27,4,248,1810
10049,4,2,6,2,2,3,4,4,6,3,2,4,6,3,2,3,2,3,6,3,6,5,6,3,103,54,-41,6,21,8,270,32,40,14,11,31,69,27,172,103,79,16,-19,158,88,17,17,4,236,1684
10050,4,1,6,6,6,3,1,1,6,3,5,6,6,3,5,3,1,3,6,3,1,6,6,3,98,51,-48,-3,-17,8,258,22,3,16,9,28,41,27,115,103,69,16,-17,158,96,20,11,4,211,1540
10051,1,4,4,2,2,2,4,4,4,2,5,3,4,2,1,2,4,2,5,2,5,4,5,2,101,24,16,5,22,8,77,-10,127,21,12,30,66,27,170,103,-20,16,2,158,57,26,22,4,249,1826
10052,3,6,3,6,6,1,6,6,3,6,2,6,1,1,5,1,6,1,3,1,3,5,3,1,103,26,27,3,16,8,100,-2,179,10,11,25,106,27,158,103,-16,16,8,158,68,24,28,4,205,1470
10053,2,3,4,5,5,3,2,3,1,6,6,3,1,3,4,3,2,3,5,3,1,6,4,3,103,28,18,2,7,8,164,9,171,14,8,38,106,27,158,103,22,16,5,158,89,16,28,4,206,1478
10054,6,5,6,6,6,4,4,6,6,2,5,6,6,4,6,4,4,4,6,4,5,2,6,4,52,8,-58,-11,-36,8,48,-30,-1,32,12,15,52,27,32,103,-38,16,-30,158,51,57,3,4,219,1600
10055,6,1,5,6,6,4,3,6,5,2,4,6,6,4,6,4,3,4,5,4,3,2,5,4,62,32,-14,-1,-4,8,95,-18,79,28,12,29,52,27,98,103,-25,16,-7,158,54,52,20,4,204,1448
10056,1,2,1,5,5,5,2,1,1,6,5,3,1,5,3,5,2,5,1,5,1,6,1,5,91,59,73,-3,-9,8,305,44,264,11,9,31,105,27,119,103,83,16,34,158,106,13,41,4,184,1268
10057,1,1,4,3,3,4,1,1,4,2,1,2,4,4,3,4,1,4,6,4,1,3,1,4,104,47,28,4,28,8,233,23,158,24,15,37,66,27,188,103,64,16,5,158,68,31,35,4,245,1782
10058,3,5,5,4,4,2,5,4,5,6,5,6,2,2,4,2,4,2,5,2,3,5,2,2,83,22,4,4,16,8,139,9,146,19,12,26,87,27,141,103,10,16,2,158,66,32,34,4,264,1920
10059,3,3,2,3,3,4,2,2,4,1,1,4,4,4,3,4,2,4,2,4,4,2,5,4,92,33,20,4,22,8,194,20,144,20,13,31,71,27,162,103,50,16,8,158,62,29,25,4,262,1906
10060,6,6,2,6,6,2,6,6,4,2,1,4,4,2,6,2,6,2,3,2,5,3,5,2,58,22,24,0,1,8,58,-9,138,14,12,31,69,27,102,103,-30,16,6,158,55,20,25,4,235,1672
