iter	MultiClass
0	1.780308989
1	1.769616323
2	1.758652194
3	1.747499813
4	1.736977252
5	1.725961633
6	1.716218778
7	1.70564553
8	1.695449447
9	1.685661236
10	1.675747141
11	1.66608561
12	1.656475853
13	1.647035373
14	1.637683604
15	1.628626804
16	1.619548931
17	1.611082295
18	1.602976136
19	1.594526446
20	1.585999825
21	1.577675363
22	1.569476538
23	1.561688879
24	1.554423698
25	1.546538545
26	1.538652148
27	1.531271691
28	1.524284309
29	1.517132957
30	1.509975114
31	1.502868775
32	1.496019685
33	1.489008167
34	1.481993644
35	1.475030662
36	1.468507961
37	1.462144993
38	1.456221095
39	1.449839937
40	1.443895032
41	1.437932332
42	1.432115232
43	1.426268771
44	1.420285604
45	1.414215255
46	1.408315729
47	1.402559332
48	1.396759797
49	1.391294873
50	1.385972915
51	1.380702013
52	1.375282118
53	1.370075602
54	1.364991813
55	1.35998857
56	1.3554759
57	1.350422073
58	1.345544121
59	1.340710399
60	1.335969225
61	1.331134942
62	1.326392685
63	1.321602165
64	1.316966552
65	1.312309819
66	1.307697039
67	1.303489965
68	1.299070367
69	1.294573889
70	1.290293184
71	1.286329019
72	1.282129554
73	1.278151142
74	1.273985515
75	1.269866219
76	1.265343744
77	1.261256649
78	1.257383437
79	1.253621511
80	1.249931989
81	1.246135638
82	1.242153423
83	1.238148106
84	1.234433909
85	1.230687917
86	1.226747486
87	1.223050847
88	1.219513219
89	1.215961564
90	1.212538015
91	1.209164272
92	1.205718586
93	1.202282607
94	1.199021962
95	1.195751704
96	1.192492276
97	1.189302838
98	1.186213689
99	1.183130499
100	1.179978976
101	1.176942534
102	1.17374405
103	1.170530429
104	1.167549444
105	1.164459616
106	1.161323352
107	1.158267662
108	1.155623054
109	1.152809775
110	1.150128853
111	1.147163417
112	1.144209688
113	1.141504269
114	1.138792977
115	1.136122804
116	1.133252928
117	1.130548633
118	1.127688471
119	1.125179921
120	1.122705966
121	1.120123334
122	1.117666046
123	1.115140547
124	1.112475757
125	1.109971594
126	1.107421386
127	1.104834099
128	1.102411707
129	1.099933668
130	1.09758969
131	1.095136162
132	1.092840646
133	1.090499221
134	1.088148502
135	1.085803134
136	1.083672087
137	1.081389645
138	1.07893216
139	1.076751711
140	1.07436924
141	1.072217286
142	1.070074569
143	1.067921235
144	1.065686184
145	1.06360216
146	1.061571104
147	1.059568392
148	1.05741925
149	1.055420313
150	1.053436257
151	1.051488776
152	1.049577294
153	1.047654228
154	1.045639961
155	1.043733221
156	1.041897505
157	1.03984246
158	1.037848788
159	1.036062662
160	1.034226789
161	1.032366674
162	1.030616248
163	1.028881111
164	1.027072361
165	1.02535175
166	1.023607601
167	1.021854469
168	1.020176192
169	1.018566032
170	1.016646807
171	1.015005359
172	1.013420515
173	1.011700108
174	1.010068304
175	1.008516338
176	1.006867118
177	1.005092268
178	1.003450871
179	1.001733524
180	1.000227781
181	0.9986824065
182	0.9969555169
183	0.9953484039
