iter	Passed	Remaining
0	22	45707
1	34	34789
2	46	31197
3	58	29340
4	70	28203
5	82	27508
6	95	27108
7	109	27365
8	125	27820
9	138	27655
10	151	27468
11	165	27490
12	182	27845
13	197	28043
14	210	27844
15	222	27638
16	235	27506
17	248	27390
18	260	27200
19	273	27093
20	285	26916
21	297	26764
22	309	26638
23	322	26519
24	334	26411
25	346	26299
26	358	26192
27	370	26126
28	390	26516
29	403	26506
30	416	26477
31	429	26407
32	442	26355
33	454	26305
34	467	26270
35	480	26196
36	493	26158
37	506	26156
38	520	26147
39	534	26178
40	548	26187
41	561	26190
42	575	26193
43	589	26185
44	609	26471
45	623	26466
46	636	26439
47	650	26440
48	662	26397
49	676	26381
50	689	26351
51	702	26331
52	716	26320
53	729	26299
54	742	26262
55	756	26245
56	769	26232
57	782	26212
58	796	26201
59	810	26197
60	823	26182
61	837	26174
62	851	26170
63	865	26179
64	878	26157
65	892	26146
66	905	26124
67	918	26110
68	932	26086
69	945	26077
70	959	26073
71	974	26088
72	988	26091
73	1002	26086
74	1015	26076
75	1029	26062
76	1043	26048
77	1056	26040
78	1070	26031
79	1083	26014
80	1100	26079
81	1116	26125
82	1130	26109
83	1144	26108
84	1157	26081
85	1171	26066
86	1184	26051
87	1197	26028
88	1211	26005
89	1224	25987
90	1237	25967
91	1250	25936
92	1263	25914
93	1277	25901
94	1290	25879
95	1304	25864
96	1317	25845
97	1330	25828
98	1344	25808
99	1357	25794
100	1370	25773
101	1384	25758
102	1397	25731
103	1410	25706
104	1422	25674
105	1435	25648
106	1448	25621
107	1461	25598
108	1474	25582
109	1487	25562
110	1500	25539
111	1513	25517
112	1526	25489
113	1540	25483
114	1553	25462
115	1566	25449
116	1579	25428
117	1596	25469
118	1613	25510
119	1627	25502
120	1641	25489
121	1655	25479
122	1668	25468
123	1681	25445
124	1695	25433
125	1708	25413
126	1722	25396
127	1735	25387
128	1749	25370
129	1763	25362
130	1776	25351
131	1790	25340
132	1804	25333
133	1817	25310
134	1831	25298
135	1845	25289
136	1858	25275
137	1871	25257
138	1884	25232
139	1897	25204
140	1909	25178
141	1922	25153
142	1935	25129
143	1947	25100
144	1960	25075
145	1972	25050
146	1985	25023
147	1997	24999
148	2011	24987
149	2025	24986
150	2039	24972
151	2052	24952
152	2066	24941
153	2078	24920
154	2096	24954
155	2113	24984
156	2128	24981
157	2142	24982
158	2157	24979
159	2171	24973
160	2185	24960
161	2199	24950
